t01_fontsize_positive_1	pass
t01_fontsize_positive_10_5	pass
t01_fontsize_positive_401	pass
t01_fontsize_positive_4000	pass
t01_fontsize_positive_6	pass
t01_fontsize_positive_16	pass
t01_fontsize_positive_400	pass
t01_fontsize_negative_0	fail
t01_fontsize_negative_0_5	fail
t01_fontsize_negative_4000_1	fail
t01_fontsize_negative_abc	fail
t01_span_decimal	pass
t02_content_positive	pass
t02_p_positive	pass
t02_ul_positive	pass
t02_ol_positive	pass
t02_bulletsize_negative_24pct	fail
t02_bulletsize_negative_401pct	fail
t02_bulletsize_negative_5	fail
t02_bulletsize_negative_401	fail
t02_bulletsize_negative_100	fail
t02_bulletsize_negative_10_5	fail
t02_bulletchar_empty	fail
t02_bulletchar_long	fail
t02_bulletchar_on_ol	fail
t02_autostart_negative_0	fail
t02_autostart_negative_32768	fail
t02_autostart_negative_1_5	fail
t02_autostart_on_ul	fail
t03_field_slidenum	pass
t03_field_datetime	pass
t03_field_datetime1	pass
t03_field_datetime2	pass
t03_field_datetime3	pass
t03_field_datetime4	pass
t03_field_datetime5	pass
t03_field_datetime6	pass
t03_field_datetime7	pass
t03_field_datetime8	pass
t03_field_datetime9	pass
t03_field_datetime10	pass
t03_field_datetime11	pass
t03_field_datetime12	pass
t03_field_datetime13	pass
t03_formula	pass
t03_field_in_strong	pass
t03_field_in_span	pass
t03_field_in_shadow	pass
t03_field_in_outline	pass
t03_field_missing_type	fail
t03_field_unknown_type	fail
t03_formula_missing_latex	fail
t03_formula_two_latex	fail
t03_formula_nested	fail
t03_field_formula_nested	fail
t04_crop_top	pass
t04_crop_bottom	pass
t04_crop_left	pass
t04_crop_right	pass
t04_crop_bad_center	fail
t04_crop_bad_TOP	fail
t04_crop_bad_unknown	fail
t06_gradient_series_bars	pass
t06_gradient_missing_type	fail
t06_gradient_illegal_type	fail
t06_gradient_one_stop	fail
t06_gradient_missing_offset	fail
t06_gradient_missing_color	fail
t06_gradient_bad_opacity	fail
t07_smartlayout_minimal	pass
t07_smartlayout_solid-pyramid	pass
t07_smartlayout_step-pyramid	pass
t07_smartlayout_filled-up-step	pass
t07_smartlayout_linear-up-step	pass
t07_missing_layout	fail
t07_bad_layout	fail
t07_zero_width	fail
t07_negative_height	fail
t07_missing_cells	fail
t07_empty_cells	fail
t07_missing_title	fail
t07_index_after_title	fail
t07_alpha_not_supported	fail
t08_undefined_whiteboard	pass
t06_gradient_global_points	pass
t06_gradient_series_points	pass
t06_gradient_global_bars	pass
t06_gradient_single_bar	pass
t06_gradient_series_line	pass
t06_gradient_series_area	pass
t06_gradient_series_sectors	pass
t06_gradient_single_sector	pass
